id,answer,property_value,bleurt_score
Q645627,actor,actor,0.5767977237701416
Q5251048,dj producer,dj producer,0.9286110997200012
Q20993896,tom hank,tom hank,0.9739249348640442
Q6777518,actor,actor,0.5767977237701416
Q241867,united state,united state,0.9919833540916443
Q273944,jed harri,jed harri,0.9967257380485535
Q284254,randy brook,randy brook,0.9250380396842957
Q298761,film producer,film producer,0.9118699431419373
Q5957724,film director,film director,0.893515944480896
Q254675,princes,princes,0.9240112900733948
Q6387896,film actor,film actor,0.8629913330078125
Q20140321,stage actor,stage actor,0.8314184546470642
Q7846829,television actor,actor,0.2646454870700836
Q80424,guitar,guitar,0.6784240007400513
Q4898696,united kingdom of great britain and ireland,united kingdom of great britain and ireland,0.997732937335968
Q262838,the voice,voice,0.2827129065990448
Q16122829,actor,actor,0.5767977237701416
Q27267673,actres,film actor,0.08464165776968002
Q853461,university of bologna,university of bologna,0.9635904431343079
Q236948,actres,model,0.015146240592002869
Q24289779,filmmaker and screenwriter,film director,0.24085010588169098
Q5725010,"august 1, 1985",1985-08-01,0.8327358365058899
Q4662118,"january 1, 1992",1992-01-01,0.6673142313957214
Q3183675,united state,united state,0.9919833540916443
Q22639425,filmmaker and actor,film director,0.21778477728366852
Q22676873,new york city,new york city,0.9141663908958435
Q6833359,actor,television actor,0.1935839205980301
Q5545822,lawrence,lawrence,0.998526394367218
Q3420898,television actor,actor,0.2646454870700836
Q3439572,united state,united state,0.9919833540916443
Q29349327,american musical and dramatic academy,american musical and dramatic academy,0.9342320561408997
Q2418898,goodeve,goodeve,0.9555558562278748
Q61862123,lo angele,lo angele,1.0596922636032104
Q5460763,forest lawn memorial park,forest lawn memorial park,0.9327782988548279
Q6968800,film actor,film actor,0.8629913330078125
Q6318366,sevenoak,sevenoak,0.9700884819030762
Q19930134,danny O'Carroll,danny O'Carroll,1.061769723892212
Q240193,natural cause,natural cause,0.9231284260749817
Q2155878,united kingdom,united kingdom,0.9348112344741821
Q1280205,all saint churchyard,all saint churchyard,0.99836266040802
Q1067550,harvard university,harvard university,0.9277238845825195
Q449626,actres,film actor,0.08464165776968002
Q28739901,san juan,san juan,0.9718614220619202
Q2438469,cincinnati,cincinnati,0.9840253591537476
Q234363,bristol,bristol,1.0029797554016113
Q3514651,davy,davy,0.8963552117347717
Q253476,model,model,0.5310764312744141
Q4742806,actres,voice actor,0.04252912104129791
Q726360,lawrence high school,lawrence high school,0.9839092493057251
Q5555428,halifax,halifax,0.9740721583366394
Q3257561,united kingdom,united kingdom,0.9348112344741821
Q111436,juilliard school,juilliard school,0.9531745910644531
Q1338981,actor,television actor,0.1935839205980301
Q59551617,actor,actor,0.5767977237701416
Q365042,"singer-songwriter, guitarist, television producer",television producer,0.4651215076446533
Q542574,actres,television actor,0.12972226738929749
Q196560,film director,director,0.2716367244720459
Q346374,souther,souther,0.9465340971946716
Q3304418,toronto,toronto,0.9552290439605713
Q24035504,actor,actor,0.5767977237701416
Q5349458,steven,steven,0.8999488949775696
Q3809333,são paulo,são paulo,0.9688389897346497
Q3550929,bakalyan,bakalyan,1.0114407539367676
Q5248253,"Canberra, australia",canberra,0.6740292906761169
Q6829057,"june 14, 1972",1972-06-14,0.6980158090591431
Q20743390,united state,united state,0.9919833540916443
Q1432551,television actor,television actor,0.8891075253486633
Q253813,acting,acting,0.5752753615379333
Q743045,actor,television actor,0.1935839205980301
Q18638747,actor,actor,0.5767977237701416
Q6483320,television producer,television producer,0.9139021039009094
Q4130015,cleveland,cleveland,0.9647616744041443
Q5162490,"january 3, 1931",1931-01-03,0.7171115279197693
Q22689004,"Hadath, lebanon",hadath,0.5890743732452393
Q6708745,ogbourne,ogbourne,0.9310607314109802
Q443592,natural cause,natural cause,0.9231284260749817
Q269153,leukemia,natural cause,0.01986938714981079
Q2311487,lebanese republic,lebanese republic under french mandate,0.4451442360877991
Q7151499,"january 15, 1967",1967-01-15,0.7699204087257385
Q3180966,film director,film director,0.893515944480896
Q5944254,"october 27, 1994",1994-10-27,0.739676833152771
Q2072265,actres and model,singer,0.004157006740570068
Q28147613,"october 12, 1973",1973-10-12,0.7816659212112427
Q2884677,united kingdom of great britain and ireland,united kingdom of great britain and ireland,0.997732937335968
Q22662998,actor studio,actor studio,0.9084456562995911
Q22920357,,detroit,0.038492120802402496
Q983229,united state,united state,0.9919833540916443
Q61946933,"january 1, 1876",1876-01-01,0.7349916696548462
Q6377005,horsforth,horsforth,0.9809210896492004
Q5084985,united kingdom,united kingdom,0.9348112344741821
Q17388685,navarro college,navarro college,0.9550595879554749
Q264418,Jetsons: the movie,Jetsons: the movie,0.9721039533615112
Q6274324,film producer,producer,0.36462241411209106
Q7357986,new london,new london,1.0099766254425049
Q235719,actres,film actor,0.08464165776968002
Q444365,television actor,actor,0.2646454870700836
Q6962901,voice,voice,0.4867112636566162
Q7844004,suhr,suhr,0.9857093691825867
Q6145962,actor,actor,0.5767977237701416
Q19618632,vivian liberto,vivian liberto,1.0503449440002441
Q21207151,hartford,hartford,0.9285277128219604
Q1346591,"december 18, 1938",1938-12-18,0.6856697201728821
Q11286857,family song,family song,0.9390068054199219
Q4964292,mākaha,mākaha,1.0371403694152832
Q3108223,new york city,new york city,0.9141663908958435
Q24270788,actor,actor,0.5767977237701416
Q15500658,primetime emmy award,primetime emmy award,0.9397673010826111
Q17612552,university of ibadan,university of ibadan,0.9659630656242371
Q472079,actor,actor,0.5767977237701416
Q712992,rapper and singer,entrepreneur,0.06160065531730652
Q2403025,smart,smart,0.6877371072769165
Q15649182,actor,actor,0.5767977237701416
Q5884067,"may 13, 1980",1980-05-13,0.794783890247345
Q6104910,london,london,0.7344843745231628
Q7965423,hollywood,hollywood,0.7898563742637634
Q273332,united state,united state,0.9919833540916443
Q5515595,leukemia,leukemia,0.828448474407196
Q180665,judaism,judaism,0.8800267577171326
Q3884278,actres and screenwriter,screenwriter,0.34540629386901855
Q7838372,united state,united state,0.9919833540916443
Q311517,woodstock,woodstock,0.9601014256477356
Q57242121,united state,united state,0.9919833540916443
Q7147302,central school of speech and drama,central school of speech and drama,0.954742431640625
Q1321265,actor,television actor,0.1935839205980301
Q17490286,actor,actor,0.5767977237701416
Q4679825,kent,kent,0.6988428235054016
Q6144668,"july 19, 1882",1882-07-19,0.7830595374107361
Q18670946,teacher,teacher,0.6058060526847839
Q767742,lemon grove,lemon grove,0.9549679756164551
Q3807388,branch,branch,0.7728301882743835
Q2056584,choreographer,choreographer,0.8667000532150269
Q2642707,"march 24, 1945",1945-03-24,0.8138774633407593
Q5415020,"may 16, 1887",1887-05-16,0.7836258411407471
Q11835428,united state,united state,0.9919833540916443
Q3418866,new york city,new york city,0.9141663908958435
Q945512,television actor,television actor,0.8891075253486633
Q7245624,writer,writer,0.5618463158607483
Q955336,"actor, screenwriter, director, showrunner",actor,0.30328989028930664
Q18921603,vivienne dixon,vivienne dixon,0.9660100340843201
Q22673820,essex,essex,0.9965470433235168
Q3639959,massachusett,massachusett,0.9901472926139832
Q2695500,pacific palisade,pacific palisade,0.9869584441184998
Q102341,+2000-01-01T00:00:00Z,2000-01-01,0.7298462390899658
Q6274339,toronto,toronto,0.9552290439605713
Q457866,natural cause,natural cause,0.9231284260749817
Q20740615,television actor,television actor,0.8891075253486633
Q5262581,professional baseball player,baseball player,0.5732877254486084
Q1916956,united state,united state,0.9919833540916443
Q864408,marlboro high school,marlboro high school,0.9901986718177795
Q5297945,film actor,actor,0.24699276685714722
Q7495127,american football player,american football player,0.9142572283744812
Q2872114,actres,actor,0.15664337575435638
Q1825857,film actor,actor,0.24699276685714722
Q21175275,manchester metropolitan university,manchester metropolitan university,0.9400852918624878
Q1585774,rome,rome,0.7495970129966736
