id,answer,property_value,bleurt_score
Q645627,,actor,0.02501051127910614
Q5251048,dj producer,dj producer,0.9286110997200012
Q20993896,,tom hank,0.006566405296325684
Q6777518,actor,actor,0.5767977237701416
Q241867,,united state,0.02185286581516266
Q273944,jed harri,jed harri,0.9967257380485535
Q284254,randy brook,randy brook,0.9250380396842957
Q298761,author and film producer,film producer,0.4537477493286133
Q5957724,film director,film director,0.893515944480896
Q254675,princes,princes,0.9240112900733948
Q6387896,actor,film actor,0.13960686326026917
Q20140321,actres,stage actor,0.08603935688734055
Q7846829,actor,actor,0.5767977237701416
Q80424,guitar,guitar,0.6784240007400513
Q4898696,united kingdom of great britain and ireland,united kingdom of great britain and ireland,0.997732937335968
Q262838,,voice,0.03794799745082855
Q16122829,actor,actor,0.5767977237701416
Q27267673,film actor,film actor,0.8629913330078125
Q853461,university of bologna,university of bologna,0.9635904431343079
Q236948,actres and model,model,0.19223864376544952
Q24289779,film director,film director,0.893515944480896
Q5725010,1985,1985-08-01,0.4619843363761902
Q4662118,january 1992,1992-01-01,0.6573320031166077
Q3183675,united state,united state,0.9919833540916443
Q22639425,film director,film director,0.893515944480896
Q22676873,new york city,new york city,0.9141663908958435
Q6833359,television actor,television actor,0.8891075253486633
Q5545822,lawrence,lawrence,0.998526394367218
Q3420898,actor,actor,0.5767977237701416
Q3439572,united state,united state,0.9919833540916443
Q29349327,american musical and dramatic academy,american musical and dramatic academy,0.9342320561408997
Q2418898,goodeve,goodeve,0.9555558562278748
Q61862123,lo angele,lo angele,1.0596922636032104
Q5460763,forest lawn memorial park,forest lawn memorial park,0.9327782988548279
Q6968800,actres,film actor,0.08464165776968002
Q6318366,sevenoak,sevenoak,0.9700884819030762
Q19930134,danny O'Carroll,danny O'Carroll,1.061769723892212
Q240193,,natural cause,0.03764079511165619
Q2155878,united kingdom,united kingdom,0.9348112344741821
Q1280205,all saint churchyard,all saint churchyard,0.99836266040802
Q1067550,harvard university,harvard university,0.9277238845825195
Q449626,actres,film actor,0.08464165776968002
Q28739901,san juan,san juan,0.9718614220619202
Q2438469,cincinnati,cincinnati,0.9840253591537476
Q234363,bristol,bristol,1.0029797554016113
Q3514651,davy,davy,0.8963552117347717
Q253476,model,model,0.5310764312744141
Q4742806,voice actres,voice actor,0.5975965857505798
Q726360,lawrence high school,lawrence high school,0.9839092493057251
Q5555428,halifax,halifax,0.9740721583366394
Q3257561,united kingdom,united kingdom,0.9348112344741821
Q111436,,juilliard school,0.010754600167274475
Q1338981,actor,television actor,0.1935839205980301
Q59551617,actor,actor,0.5767977237701416
Q365042,"musician, television producer",television producer,0.5606294870376587
Q542574,screen acting,television actor,0.18939673900604248
Q196560,actor,director,0.06786516308784485
Q346374,souther,souther,0.9465340971946716
Q3304418,toronto,toronto,0.9552290439605713
Q24035504,actor,actor,0.5767977237701416
Q5349458,steven,steven,0.8999488949775696
Q3809333,,são paulo,0.017064198851585388
Q3550929,bakalyan,bakalyan,1.0114407539367676
Q5248253,canberra,canberra,0.9524039626121521
Q6829057,1972,1972-06-14,0.345578134059906
Q20743390,united state,united state,0.9919833540916443
Q1432551,actres,television actor,0.12972226738929749
Q253813,acting,acting,0.5752753615379333
Q743045,actor,television actor,0.1935839205980301
Q18638747,actres,actor,0.15664337575435638
Q6483320,director,television producer,0.048763155937194824
Q4130015,cleveland,cleveland,0.9647616744041443
Q5162490,1931-12-01,1931-01-03,0.5520990490913391
Q22689004,hadath,hadath,0.9980179071426392
Q6708745,ogbourne,ogbourne,0.9310607314109802
Q443592,,natural cause,0.03764079511165619
Q269153,leukemia,natural cause,0.01986938714981079
Q2311487,,lebanese republic under french mandate,-0.02831888198852539
Q7151499,january 1967,1967-01-15,0.6078799366950989
Q3180966,film director,film director,0.893515944480896
Q5944254,,1994-10-27,0.029919788241386414
Q2072265,singer,singer,0.7661882042884827
Q28147613,"october 12, 1973",1973-10-12,0.7816659212112427
Q2884677,united kingdom of great britain and ireland,united kingdom of great britain and ireland,0.997732937335968
Q22662998,actor studio,actor studio,0.9084456562995911
Q22920357,,detroit,0.038492120802402496
Q983229,,united state,0.02185286581516266
Q61946933,1876,1876-01-01,0.48985767364501953
Q6377005,horsforth,horsforth,0.9809210896492004
Q5084985,united kingdom,united kingdom,0.9348112344741821
Q17388685,navarro college,navarro college,0.9550595879554749
Q264418,minnie mouse,Jetsons: the movie,0.002451285719871521
Q6274324,producer,producer,0.7782654166221619
Q7357986,new london,new london,1.0099766254425049
Q235719,film actor,film actor,0.8629913330078125
Q444365,actres,actor,0.15664337575435638
Q6962901,,voice,0.03794799745082855
Q7844004,suhr,suhr,0.9857093691825867
Q6145962,storyteller,actor,0.029594257473945618
Q19618632,vivian liberto,vivian liberto,1.0503449440002441
Q21207151,hartford,hartford,0.9285277128219604
Q1346591,december 1938,1938-12-18,0.5257502794265747
Q11286857,family song,family song,0.9390068054199219
Q4964292,mākaha,mākaha,1.0371403694152832
Q3108223,new york city,new york city,0.9141663908958435
Q24270788,actres,actor,0.15664337575435638
Q15500658,primetime emmy award,primetime emmy award,0.9397673010826111
Q17612552,,university of ibadan,-0.022633060812950134
Q472079,actor,actor,0.5767977237701416
Q712992,musician,entrepreneur,0.0649234801530838
Q2403025,smart,smart,0.6877371072769165
Q15649182,actor,actor,0.5767977237701416
Q5884067,may 1980,1980-05-13,0.6352300047874451
Q6104910,london,london,0.7344843745231628
Q7965423,,hollywood,0.04530784487724304
Q273332,united state,united state,0.9919833540916443
Q5515595,leukemia,leukemia,0.828448474407196
Q180665,judaism,judaism,0.8800267577171326
Q3884278,screenwriter,screenwriter,0.8943785429000854
Q7838372,,united state,0.02185286581516266
Q311517,woodstock,woodstock,0.9601014256477356
Q57242121,,united state,0.02185286581516266
Q7147302,,central school of speech and drama,-0.0585603266954422
Q1321265,actor,television actor,0.1935839205980301
Q17490286,actor,actor,0.5767977237701416
Q4679825,,kent,0.050832390785217285
Q6144668,,1882-07-19,0.08050219714641571
Q18670946,theatre educator,teacher,0.14593937993049622
Q767742,lemon grove,lemon grove,0.9549679756164551
Q3807388,branch,branch,0.7728301882743835
Q2056584,choreographer,choreographer,0.8667000532150269
Q2642707,1945,1945-03-24,0.2825669050216675
Q5415020,1887,1887-05-16,0.4401359558105469
Q11835428,united state,united state,0.9919833540916443
Q3418866,new york city,new york city,0.9141663908958435
Q945512,actor,television actor,0.1935839205980301
Q7245624,author,writer,0.2809508442878723
Q955336,actor,actor,0.5767977237701416
Q18921603,,vivienne dixon,-0.03542456030845642
Q22673820,essex,essex,0.9965470433235168
Q3639959,massachusett,massachusett,0.9901472926139832
Q2695500,pacific palisade,pacific palisade,0.9869584441184998
Q102341,early 21st century,2000-01-01,0.021586373448371887
Q6274339,toronto,toronto,0.9552290439605713
Q457866,natural cause,natural cause,0.9231284260749817
Q20740615,actor,television actor,0.1935839205980301
Q5262581,baseball player,baseball player,0.9263785481452942
Q1916956,,united state,0.02185286581516266
Q864408,marlboro high school,marlboro high school,0.9901986718177795
Q5297945,actor,actor,0.5767977237701416
Q7495127,american football player,american football player,0.9142572283744812
Q2872114,actor,actor,0.5767977237701416
Q1825857,actres,actor,0.15664337575435638
Q21175275,manchester metropolitan university,manchester metropolitan university,0.9400852918624878
Q1585774,rome,rome,0.7495970129966736
Q13560660,saint paul,saint paul,0.9516000747680664
Q1626644,actor,actor,0.5767977237701416
Q9005152,screenwriter and theatrical director,film,0.19835171103477478
Q615309,actor,actor,0.5767977237701416
Q3852265,chicago,chicago,0.8835649490356445
Q6988294,actor,television actor,0.1935839205980301
Q5491081,,1921-04-09,0.12421438097953796
Q14087085,,michael polish,0.036968305706977844
Q5112416,"december 19, 1980",1980-12-19,0.8272438645362854
Q6876562,frankfort,frankfort,0.9832614064216614
Q6500158,1945,1945-05-23,0.26482945680618286
Q19599080,actres,film actor,0.08464165776968002
Q7352576,united state,united state,0.9919833540916443
Q16105800,denville hall,denville hall,0.9861209988594055
Q4356824,2007,2007-10-14,0.5224422216415405
Q3018667,bretton hall college,bretton hall college,0.9291843771934509
Q1255329,acting,directing,0.06896308064460754
Q21872530,ballet dancer,ballet dancer,0.8985942006111145
Q93341,lincoln high school,east St. loui lincoln high school,0.35997122526168823
Q704998,kane,kane,0.7499387264251709
Q5350001,,new york city,-0.008380591869354248
Q3290525,,united state,0.02185286581516266
Q230190,morton,morton,0.9805043339729309
Q47517222,actor,actor,0.5767977237701416
Q1618933,1982,1982-11-18,0.3736719489097595
Q4131386,,voice,0.03794799745082855
Q3434149,bartlett,bartlett,1.0174014568328857
Q2220030,film actor,film actor,0.8629913330078125
Q6451457,stanger,stanger,0.9639653563499451
Q11958868,sean,sean roche,0.34424448013305664
Q15069945,united kingdom,united kingdom,0.9348112344741821
Q28357853,allan,allan,0.9062934517860413
Q11751987,actor,actor,0.5767977237701416
Q6775737,united state,united state,0.9919833540916443
Q24006620,professional wrestler,professional wrestler,0.9463418126106262
Q5416344,,suicide,0.10325920581817627
Q6558126,actor,actor,0.5767977237701416
Q233786,germantown high school,germantown high school,0.9233109951019287
Q7425708,wickham,wickham,0.9796953797340393
Q7383007,united kingdom,united state,0.3474857807159424
Q3441473,television actor,television actor,0.8891075253486633
Q7105846,1963,1963-05-02,0.35543644428253174
Q48737404,actor,actor,0.5767977237701416
Q498263,1956,1956-07-01,0.3591480255126953
Q887889,politician,military officer,0.04034409672021866
Q312531,bas guitar,drum,0.041482113301754
Q2452130,St. john,St. john,0.8854617476463318
Q28052663,july 1972,1972-07-15,0.6274256706237793
Q191719,"fashion model, musician, actres",fashion model,0.4096808433532715
Q16749700,spring of 1931,1931-04-09,0.26499611139297485
Q27643202,smythe,smythe,0.9504733085632324
Q9024968,,1970-08-01,0.07299433648586273
Q5361618,actres,actor,0.15664337575435638
Q4236621,,united state,0.02185286581516266
Q23900814,san bernardino,san bernardino,0.9933484196662903
Q16262837,forest lawn memorial park,forest lawn memorial park,0.9327782988548279
Q6376405,film actor,film actor,0.8629913330078125
Q1146107,actor,actor,0.5767977237701416
Q18715957,actor,actor,0.5767977237701416
Q5234057,actor,television actor,0.1935839205980301
Q7610649,lyle talbot,lyle talbot,1.0650972127914429
Q1998128,lo angele,lo angele,1.0596922636032104
Q608709,actor,stage actor,0.09086503833532333
Q4758409,television actor,television actor,0.8891075253486633
Q5113284,,manchester,-0.003885328769683838
Q5929201,bradford,bradford,0.9065579771995544
Q17385556,dancer,dancer,0.6719051003456116
Q279169,,debbie andrew,-0.043706104159355164
Q7356486,film actor,film actor,0.8629913330078125
Q7148276,,united state,0.02185286581516266
Q2681092,seth peterson,seth peterson,0.9726467728614807
Q7023504,university of birmingham,university of birmingham,0.9114685654640198
Q5133222,hall,hall,0.5714793801307678
Q16195219,film producer,film producer,0.9118699431419373
Q2611866,stunt performer,stunt performer,0.9462226033210754
Q28731331,montana,montana,0.934218168258667
Q434588,spain,spain,0.8742422461509705
Q15102566,visual artist,visual artist,0.8894725441932678
Q6208095,texa,fort worth,0.02385251224040985
Q1700224,gilmore,gilmore,1.0019445419311523
Q1728855,,actor,0.02501051127910614
Q2254492,,+1970-00-00T00:00:00Z,0.07112632691860199
Q228868,,1976-10-31,0.04716549813747406
Q7922239,,united kingdom,0.012348279356956482
Q7422915,,actor,0.02501051127910614
Q1316535,melbourne,melbourne,0.906813383102417
Q7860073,,2007-12-23,0.0843794196844101
Q728630,musician,singer,0.1432364583015442
Q26924494,comedian,comedian,0.8146336078643799
Q11878748,jiří smetana,jiří smetana,0.9794242978096008
Q40067,,marjoe gortner,-0.05129052698612213
Q2395252,actor,actor,0.5767977237701416
Q1808724,december 1974,1974-12-11,0.6590984463691711
Q2785990,1997,1997-10-05,0.4574882984161377
Q345038,eastbourne college,eastbourne college,0.8994142413139343
Q229749,,spin city,0.02848970890045166
Q6160746,yoga instructor,yoga instructor,0.937894344329834
Q15993553,actor,actor,0.5767977237701416
Q7035226,film actor,film actor,0.8629913330078125
Q15044042,"january 24, 1953",1953-01-24,0.711525559425354
Q2259074,september 1977,1977-09-02,0.7370673418045044
Q703929,actor,television actor,0.1935839205980301
Q579571,actor,actor,0.5767977237701416
Q1314250,screenwriter,screenwriter,0.8943785429000854
Q15731713,television performer,television actor,0.46237659454345703
Q30527994,1967,1967-01-05,0.3721500635147095
Q234798,actres,actor,0.15664337575435638
Q6391745,,a,0.04735095053911209
Q7381823,1906,1906-10-14,0.5341333150863647
Q5296575,united state,united state,0.9919833540916443
Q2094087,united state,united state,0.9919833540916443
Q2395069,,united state,0.02185286581516266
Q16166207,1987,1987-03-20,0.49704843759536743
Q76478,united state,united state,0.9919833540916443
Q272214,,voice,0.03794799745082855
Q2654574,actres,actor,0.15664337575435638
Q2079584,chuck norri,chuck norri,1.0499703884124756
